year_month,avg_salary,count_in_day,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Московская область_Индекс потребительских цен на товары и услуги,Московская область_Индекс промышленного производства (по месяцам),Московская область_Коэффициент ликвидации организаций (по месяцам),Московская область_Коэффициент рождаемости организаций на организаций по субъектам Российской Федерации,Московская область_Оборот розничной торговли (в % к пред месяцу),Московская область_Объем платных услуг населению,Московская область_Численность зарегистрированных безработных (по месяцам),Московская область_Cреднедушевые денежные доходы,Московская область_Индекс производства продукции сельского хозяйства (поквартально),Московская область_Количество организаций,Московская область_Уровень безработицы (по методологии МОТ),Московская область_Численность безработных (МОТ),Московская область_Численность занятых (по обследованиям),Московская область_Численность принятых работников (по кварталам),Московская область_Численность рабочей силы,Московская область_Численность требуемых работников на вакантные рабочие места,Московская область__ВРП на душу населения,Московская область__Численность населения на январ,Московская область_Динамика инвестиций в ОК (%),Московская область_Доля инвестиций в ОК к ВРП,Московская область_Индекс физического объема ВРП,Московская область_Количество активных предприятий,Московская область_Количество умерших предприятий,Московская область_Коэффициент миграционного прироста,Московская область_Коэффициент напряженности на рынке труда,Московская область_Наличие основных фондов,Московская область_Показатели предпринимательской активности _акти,Московская область_Показатели предпринимательской активности _рос,Московская область_Показатели предпринимательской активности _уга,Московская область_Потребительские расходы в среднем на душу населения,Московская область_Потребность в работниках,Московская область_Степень износа ОФ,"Московская область_Численность обучающихся (квалиф рабочие, служащие)"
2018-01,49956.89655172414,21.689655172413797,1.0,1.0,2018.0,16.82758620689655,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.147144128113936,39.29907439446379,37774430.6,15347811.1,101.13459716928057,1183.7490048879836,939.1582784114051,376.94233319755614,97318.98706042091,99915.9003462322,41238.774568906985,69.5,65.84864173350583,116.52839718603249,20.57622284915556,100.46,105.9,23.4,4.9,74.0,102.2,22064.0,39368.0,100.4,232417.0,119.7,119.7,4013.5,140.8,4133.2,60.5,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-02,53232.142857142855,25.82142857142857,1.0,2.0,2018.0,14.5,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,17064.0,6117.0,1903.0,5678.0,338307487.84000003,115842064.27,89379603.91,131008890.9,957.969422755482,389.88673561039553,37.67061023622032,41.166884008235954,39.31030446549373,37774430.6,15347811.1,101.13459716928057,1183.7490048879833,939.1582784114051,376.94233319755614,97318.98706042091,99915.9003462322,41238.774568906985,69.5,65.84864173350583,116.52839718603249,20.57622284915556,100.04,104.7,6.9,5.6,95.8,98.8,22116.0,39368.0,100.4,232417.0,119.7,119.7,4013.5,140.8,4133.2,60.5,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-03,52629.03225806452,23.41935483870968,1.0,3.0,2018.0,16.0,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,19009.0,6629.0,2049.0,6376.0,519651220.52,95392951.94,293657213.24,128765080.92,957.969422755482,389.88673561039553,37.70734767025085,41.14224011713033,39.48500367376914,37774430.6,15347811.1,101.13459716928057,1183.7490048879836,939.1582784114051,376.94233319755614,97318.9870604209,99915.9003462322,41238.774568906985,69.5,65.84864173350583,116.52839718603249,20.57622284915556,100.45,103.9,14.5,6.1,114.8,102.8,21462.0,39368.0,100.4,232417.0,119.7,119.7,4013.5,140.8,4133.2,60.5,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-04,54539.65517241379,24.58620689655172,2.0,4.0,2018.0,15.758620689655173,97.6,9152634.051798472,26074.33381607531,2766.9999999999995,1908.7,20013.0,6523.0,2058.0,6776.0,293963032.29,22324678.47999999,86303930.51,183429783.23,580.9905024197158,303.9104285927367,38.10152189781027,41.55969854856711,39.96882890035739,24373769.2,12790027.1,101.13459716928057,1183.7490048879836,939.1582784114051,376.94233319755614,97318.98706042091,99915.9003462322,41238.774568906985,262.0,65.84864173350583,116.52839718603249,20.57622284915556,100.84,109.0,9.2,6.6,100.7,102.2,20815.0,43967.0,101.4,231341.0,108.0,108.0,4031.4,132.2,4139.4,68.3,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-05,53535.483870967735,23.838709677419356,2.0,5.0,2018.0,16.0,97.6,9152634.051798472,26074.33381607531,2766.9999999999995,1908.7,19175.0,6226.0,1920.0,6452.0,633721628.24,40665913.37000001,48951545.32000005,542357630.17,580.9905024197158,303.9104285927367,40.512929986272134,43.82354314720823,42.35287802749304,24373769.2,12790027.1,101.13459716928057,1183.7490048879836,939.1582784114051,376.94233319755614,97318.9870604209,99915.9003462322,41238.774568906985,262.0,65.84864173350583,116.52839718603249,20.57622284915556,100.73,106.3,5.2,6.6,102.4,100.3,19974.0,43967.0,101.4,231341.0,108.0,108.0,4031.4,132.2,4139.4,68.3,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-06,54844.827586206906,28.655172413793107,2.0,6.0,2018.0,15.0,97.6,9152634.051798472,26074.33381607531,2766.9999999999995,1908.7,19984.0,6197.0,1859.0,6637.0,610734481.9700003,75326756.92000002,135176883.51,399288695.42,580.9905024197158,303.9104285927367,42.318394946186146,45.39648610456896,43.93286576869518,24373769.2,12790027.1,101.13459716928057,1183.7490048879836,939.1582784114051,376.94233319755614,97318.98706042091,99915.9003462322,41238.774568906985,262.0,65.84864173350583,116.52839718603249,20.57622284915556,100.53,110.2,8.1,6.1,101.6,100.8,19155.0,43967.0,101.4,231341.0,108.0,108.0,4031.4,132.2,4139.4,68.3,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-07,52606.451612903234,26.70967741935484,3.0,7.0,2018.0,16.0,13.100000000000026,9152634.051798472,26074.33381607531,3797.300000000001,3283.200000000001,20566.0,6662.0,1992.0,6721.0,1158309801.9699998,94266983.32,86625374.37,975431499.36,899.3792109393239,383.89204990992386,41.773522012578354,45.20810309278321,43.75014563106778,39051494.60000001,16819935.000000004,101.13459716928057,1183.7490048879836,939.1582784114051,376.94233319755614,97318.9870604209,99915.9003462322,41238.774568906985,262.79999999999995,65.84864173350583,116.52839718603249,20.57622284915556,100.4,110.2,6.2,6.5,100.0,101.6,18782.0,45351.0,103.6,227953.0,107.5,107.5,4027.6,149.92261613691932,4135.0,72.0,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-08,55527.41935483871,32.064516129032256,3.0,8.0,2018.0,16.0,13.100000000000026,9152634.051798472,26074.33381607531,3797.300000000001,3283.200000000001,22604.0,8017.0,2305.0,7259.0,1096443267.8799996,127358306.61,91563374.25,875369176.02,899.3792109393239,383.89204990992386,41.489498806682505,45.06317201166164,43.70126694166178,39051494.60000001,16819935.000000004,101.13459716928057,1183.7490048879836,939.1582784114051,376.94233319755614,97318.9870604209,99915.9003462322,41238.774568906985,262.79999999999995,65.84864173350583,116.52839718603249,20.57622284915556,99.98,109.4,12.3,6.7,103.1,99.7,18530.0,45351.0,103.6,227953.0,107.5,107.5,4027.6,149.92261613691932,4135.0,72.0,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-09,54300.0,28.266666666666666,3.0,9.0,2018.0,15.5,13.100000000000026,9152634.051798472,26074.33381607531,3797.300000000001,3283.200000000001,21266.0,7744.0,2189.0,6743.0,1795498634.54,94580556.75,837741611.0399997,862097359.1200004,899.3792109393239,383.89204990992386,41.66725063938599,45.32145057766344,43.991280788177136,39051494.60000001,16819935.000000004,101.13459716928057,1183.7490048879836,939.1582784114051,376.94233319755614,97318.98706042091,99915.9003462322,41238.774568906985,262.79999999999995,65.84864173350583,116.52839718603249,20.57622284915556,99.85,109.0,13.3,6.4,98.7,98.7,18041.0,45351.0,103.6,227953.0,107.5,107.5,4027.6,149.92261613691932,4135.0,72.0,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-10,51264.516129032265,33.645161290322584,4.0,10.0,2018.0,16.0,343.3,9152634.051798472,26074.33381607531,5184.799999999998,3405.599999999998,25502.0,8180.0,2322.0,8025.0,582807860.8000003,152233893.84000003,78977180.55999994,349623159.2999997,1190.3208582636912,454.2164600222287,41.73644268774695,45.48434371523901,44.31442411194822,51953439.79999998,20535641.2,101.13459716928057,1064.8,842.05,313.85,87844.4,115822.0,51545.3,892.4000000000003,65.84864173350583,116.52839718603249,20.57622284915556,100.24,110.9,11.9,8.4,100.3,102.2,17720.0,51432.0,105.0,217443.0,107.1,107.1,4086.6,136.4,4193.7,65.8,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-11,52316.66666666666,30.066666666666666,4.0,11.0,2018.0,15.5,343.3,9152634.051798472,26074.33381607531,5184.799999999998,3405.599999999999,26055.0,8157.0,2348.0,8078.0,803546227.1800003,217571638.32999992,343245802.47,237754891.29,1190.3208582636912,454.2164600222287,41.83133538461536,45.565801242235906,45.31178777393323,51953439.79999998,20535641.2,101.13459716928057,1111.6,881.25,384.5,95129.95,104830.8,46869.05,892.4000000000003,65.84864173350583,116.52839718603249,20.57622284915556,100.68,108.0,15.0,7.1,100.4,102.0,17988.0,51432.0,105.0,217443.0,107.1,107.1,4086.6,136.4,4193.7,65.8,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2018-12,55411.290322580644,23.096774193548388,4.0,12.0,2018.0,16.0,343.3,9152634.051798472,26074.33381607531,5184.799999999998,3405.599999999998,28950.0,8216.0,2422.0,8934.0,3610883150.4000006,1073609321.85,1097146559.2300005,1438128560.6800005,1190.3208582636912,454.2164600222287,41.748194348724866,45.51338900487107,46.007189856065615,51953439.79999998,20535641.2,101.13459716928057,1044.75,848.6,408.55,84668.5,127981.4,49638.6,892.4000000000003,65.84864173350583,116.52839718603249,20.57622284915556,101.0,106.6,42.4,7.7,117.8,98.8,18909.0,51432.0,105.0,217443.0,107.1,107.1,4086.6,136.4,4193.7,65.8,615059.9,7503.4,129.3,20.4,102.0,175481.0,29339.0,139.68,2.2,8981281.0,175481.0,32351.0,25955.0,35199.0,47167.0,38.9,17776.0
2019-01,51353.44827586207,23.79310344827586,1.0,1.0,2019.0,17.0,263.7,9152634.051798472,29047.0,2643.4,1992.3,14357.0,5676.0,1647.0,4631.0,653997825.98,5287459.28,606732361.08,41069879.12,752.5184860613092,352.9690375711332,41.648316151202685,45.45568064330836,46.3425232018562,32682308.7,16340485.3,101.13459716928057,1029.55,895.9,438.75,85557.35,122405.0,49130.35,225.8,65.84864173350583,116.52839718603249,20.57622284915556,101.15,104.5,17.4,5.8,73.8,105.7,19880.0,40627.0,109.9,213406.0,114.4,114.4,4039.1,156.6,4153.5,69.4,670800.3,7599.7,107.7,21.0,106.2,164833.0,24860.0,144.1,2.4,23768046.0,164833.0,65777.0,3774.0,37972.0,41776.0,24.1,17922.0
2019-02,55410.714285714275,29.785714285714285,1.0,2.0,2019.0,14.5,263.7,9152634.051798472,34257.0,2643.4,1992.3,19942.0,7831.0,2133.0,6079.0,251973439.75,17446230.23,80859628.15999997,152415961.17,752.5184860613092,352.9690375711332,41.50998415213915,45.353471882640406,46.38797275641009,32682308.7,16340485.3,89.07407407407406,1070.5,908.75,400.35,78550.5,101741.1,48368.4,225.8,65.84864173350583,102.11111111111107,19.9775,100.41,110.0,12.4,10.1,99.3,110.6,21134.0,40627.0,109.9,213406.0,114.4,114.4,4039.1,156.6,4153.5,69.4,670800.3,7599.7,107.7,21.0,106.2,164833.0,24860.0,144.1,2.4,23768046.0,164833.0,65777.0,3774.0,37972.0,41776.0,24.1,17922.0
2019-03,56386.290322580644,29.741935483870968,1.0,3.0,2019.0,16.0,263.7,9152634.051798472,34000.0,2643.4,1992.3,19627.0,7557.0,2070.0,5991.0,248876408.59999987,27309057.75,70103996.53999996,149718799.91,752.5184860613092,352.9690375711332,41.365341789992726,45.25064064801164,46.15266568483055,32682308.7,16340485.3,90.22580645161293,1062.35,893.35,375.35,78221.9,102291.4,26393.7,225.8,65.84864173350583,102.35483870967741,18.65935484,100.26,108.0,10.2,9.0,115.1,106.4,21720.0,40627.0,109.9,213406.0,114.4,114.4,4039.1,156.6,4153.5,69.4,670800.3,7599.7,107.7,21.0,106.2,164833.0,24860.0,144.1,2.4,23768046.0,164833.0,65777.0,3774.0,37972.0,41776.0,24.1,17922.0
2019-04,57533.33333333334,29.266666666666666,2.0,4.0,2019.0,15.5,72.40000000000003,9152634.051798472,33325.0,3302.4999999999995,2635.2,21421.0,8305.0,2201.0,6448.0,417612910.42000014,31911370.73,243624694.87,139550560.87,659.4359753433298,368.90595830440964,41.241577287066,45.17218009478668,45.49740740740755,28642590.7,16676221.9,96.36666666666666,1012.0,866.8,331.6,81274.65,83438.7,31403.55,457.0,65.84864173350583,103.8333333333333,18.991,100.17,111.4,9.0,9.9,98.6,108.0,22625.0,48468.0,103.7,212631.0,112.7,112.7,3981.0,147.6,4093.7,78.7,670800.3,7599.7,107.7,21.0,106.2,164833.0,24860.0,144.1,2.4,23768046.0,164833.0,65777.0,3774.0,37972.0,41776.0,24.1,17922.0
2019-05,58604.838709677424,27.41935483870968,2.0,5.0,2019.0,16.0,72.40000000000003,9152634.051798472,33327.0,3302.4999999999995,2635.2,16296.0,7078.0,1818.0,4912.0,322070324.71000016,41518367.75,152688711.30000007,126464734.23999996,659.4359753433298,368.90595830440947,41.39568091168072,45.304358523725746,44.99402285027074,28642590.7,16676221.9,103.6129032258064,1023.533,886.0333,348.2333,78299.57,75690.43,33195.63,457.0,65.84864173350583,89.83870967741936,17.33645161,100.33,106.6,6.6,6.7,103.3,107.0,22080.0,48468.0,103.7,212631.0,112.7,112.7,3981.0,147.6,4093.7,78.7,670800.3,7599.7,107.7,21.0,106.2,164833.0,24860.0,144.1,2.4,23768046.0,164833.0,65777.0,3774.0,37972.0,41776.0,24.1,17922.0
2019-06,58250.0,28.9,2.0,6.0,2019.0,15.5,72.40000000000003,9152634.051798472,31215.0,3302.4999999999995,2635.2,18437.0,7208.0,1957.0,5522.0,422694940.82999986,49505951.23,103154629.20000003,267085759.0200001,659.4359753433298,368.90595830440964,41.81856519631617,45.67753891050581,45.122171457905615,28642590.7,16676221.9,104.5,1028.0,877.3,368.75,79289.9,70783.9,32093.25,457.0,65.84864173350583,107.0,17.878,100.26,109.8,7.6,6.7,100.6,106.7,21744.0,48468.0,103.7,212631.0,112.7,112.7,3981.0,147.6,4093.7,78.7,670800.3,7599.7,107.7,21.0,106.2,164833.0,24860.0,144.1,2.4,23768046.0,164833.0,65777.0,3774.0,37972.0,41776.0,24.1,17922.0
2019-07,55354.838709677424,29.12903225806452,3.0,7.0,2019.0,16.0,182.2,9152634.051798472,29770.0,3471.700000000001,2819.1000000000013,19020.0,6591.0,1694.0,5585.0,1625147033.63,126258286.05999996,834605751.25,663280029.14,765.9903670629237,397.39188427153715,41.84347588264556,45.770645320197,45.13248163693596,33483230.6,17934359.599999998,98.63333333333334,990.5,861.5,315.55,76390.9,79545.8,32177.8,267.4000000000001,65.84864173350583,104.8666666666667,18.80933333,100.19,114.1,20.0,8.0,101.4,108.2,21987.0,47192.0,111.9,209138.0,115.9,115.9,4131.6,149.92261613691932,4247.5,82.9,670800.3,7599.7,107.7,21.0,106.2,164833.0,24860.0,144.1,2.4,23768046.0,164833.0,65777.0,3774.0,37972.0,41776.0,24.1,17922.0
