date,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-11,1,1,2018,11,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-12,1,1,2018,12,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-13,1,1,2018,13,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-14,1,1,2018,14,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-15,1,1,2018,15,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-16,1,1,2018,16,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-17,1,1,2018,17,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-18,1,1,2018,18,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-19,1,1,2018,19,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-20,1,1,2018,20,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-21,1,1,2018,21,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-22,1,1,2018,22,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-23,1,1,2018,23,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-24,1,1,2018,24,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-25,1,1,2018,25,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-26,1,1,2018,26,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-27,1,1,2018,27,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-28,1,1,2018,28,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-29,1,1,2018,29,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-30,1,1,2018,30,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-01-31,1,1,2018,31,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
2018-02-01,1,2,2018,1,25.5,2941454.6337067597,4849.364864864865,519.2,442.2,4057.0,762.0,471.0,3037.0,40553039.6,12047547.9,16703581.14,11801910.56,213.68407951476317,55.87226744488125,36.47398373983739,39.79890109890109,40.12495370370375,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.247512887324,54877.81695774648,43125.822669014095,33.2,66.98909575546352,145.29452330926193,133.8031063187416,100.13337347199416,15.552371041363985
