date,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2021-10-11,4,10,2021,11,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-12,4,10,2021,12,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-13,4,10,2021,13,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-14,4,10,2021,14,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-15,4,10,2021,15,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-16,4,10,2021,16,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-17,4,10,2021,17,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-18,4,10,2021,18,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-19,4,10,2021,19,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
2021-10-20,4,10,2021,20,197.6,9703919.512000004,29224.0,4006.4,2594.5,41506.0,14619.0,2547.0,8963.0,477988526.9499998,82599211.40000004,230887861.46000004,158705146.48000002,756.1865595563014,388.10283256921406,45.37011054421778,49.78123600344545,49.35107187894067,36348487.19999999,19702997.0,100.8387096774194,1355.25,990.95,386.55,104096.0,101575.1,39142.5,581.8,74.1,130.5483870967742,20.95774194
