date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-04,1,1,2018,4,40000.0,1,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-06,1,1,2018,6,50250.0,2,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-07,1,1,2018,7,45750.0,2,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-08,1,1,2018,8,52500.0,1,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-09,1,1,2018,9,47500.0,15,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-10,1,1,2018,10,46750.0,13,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-11,1,1,2018,11,46250.0,8,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-12,1,1,2018,12,50000.0,61,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-13,1,1,2018,13,50000.0,3,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-14,1,1,2018,14,42500.0,5,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-15,1,1,2018,15,42500.0,21,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
2018-01-16,1,1,2018,16,55000.0,9,61.1,,,3376.9,3161.8,12468,,,4902,1616,4369,28881124.15,3141279.57,12784515.87,12085811.93,957.9694227554821,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,,,,,,,,,69.5,3.6,,,,,,
